Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Distance To GCS (m),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type
1.6,1,46,-134,0,3.3,-75.20323775,1.1,763,0.31,0.66,-2.12,248.7,0:02:32,34.4,2,356,144,,0,15:03:55,10:58:31,5/24/2022,32.2318416,-110.9092345,12SWA 08551 66137,100,100,221.9,1,0,38.4,-21,-1,2.5,2.5,-2.2,2.2,-0.1,107.8,0,0,0,1
1.7,1,47,-133,1,3.3,-75.20323775,1.1,763,0.3,0.66,-2.12,251.4,0:02:33,36.8,2,356,144,,0,15:03:55,10:58:32,5/24/2022,32.2315949,-110.9094947,12SWA 08527 66110,100,100,221.9,1,0,40.2,-22.6,-0.9,2.5,2.5,-2.1,2.1,0,107.8,0,0,0,1
1.7,1.1,47,-133,0,3.3,-75.20323775,1.1,763.1,0.37,0.66,-2.12,253.8,0:02:34,39.4,2,356,144,,0,15:03:55,10:58:33,5/24/2022,32.2313481,-110.9097549,12SWA 08502 66082,100,100,221.9,1,0,42.2,-24.3,-1,2.5,2.5,-2.1,2.1,-0.1,107.83,0,0,0,1
1.7,1.1,48,-132,1,3.3,-75.20323775,1.1,763.1,0.33,0.66,-2.12,259.2,0:02:35,43.4,2,356,143,,0,15:03:55,10:58:34,5/24/2022,32.2312248,-110.909885,12SWA 08490 66069,100,100,221.9,1,0,44.2,-26.1,-1,2.5,2.5,-2.1,2.1,0,107.83,0,0,0,1
1.7,1.2,48,-132,0,3.3,-75.20323775,1,763,0.25,0.66,-2.12,261.9,0:02:36,46.2,2,356,143,,0,15:03:55,10:58:35,5/24/2022,32.2309781,-110.9101452,12SWA 08465 66041,100,100,221.9,1,0,47.3,-28.8,-0.9,2.5,2.5,-2.1,2.1,0,107.85,0,0,0,1
1.7,1.2,49,-131,1,3.3,-75.20323775,1,763,0.22,0.66,-2.12,264.8,0:02:38,49,2,356,143,,0,15:03:55,10:58:36,5/24/2022,32.2308136,-110.9103187,12SWA 08449 66023,100,100,221.9,1,0,49.5,-30.6,-0.9,2.5,2.5,-2.1,2.1,0,107.85,0,0,0,1
0,-0.7,28,-152,-21,0,-75.20323775,0.9,762.9,0.17,0.66,-2.12,267.6,0:02:38,51.9,2,356,143,,0,15:03:55,10:58:37,5/24/2022,32.2305668,-110.9105789,12SWA 08425 65996,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,107.89,0,0,0,1
0.2,-0.4,34,-146,6,0,-75.20323775,1.2,763.2,-0.46,0.66,-2.12,534.2,0:02:39,306.7,2,356,166,,0,15:03:55,10:58:38,5/24/2022,32.2303201,-110.910839,12SWA 08400 65968,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,107.92,0,0,0,1
0.4,-0.3,38,-142,4,0,-75.20323775,0.8,762.8,-0.17,0.66,-2.12,560.7,0:02:40,323.1,2,356,170,,0,15:03:55,10:58:39,5/24/2022,32.2301968,-110.9109691,12SWA 08388 65955,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,107.92,0,0,0,1
0.7,-0.2,42,-138,4,0,-75.20323775,0.5,762.5,-0.27,0.66,-2.12,581.8,0:02:41,335.9,2,356,173,,0,15:03:55,10:58:40,5/24/2022,32.22995,-110.9112293,12SWA 08363 65927,100,100,221.9,1,0,51.7,-32.4,-0.8,2.6,2.6,-2.1,2.1,0,107.94,0,0,0,1
