Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Distance To GCS (m),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type,EKF Detector
-7.2,-4.4,32,-148,0,11.6,0,0.9,762.8,0.12,0,0,17.7,0:00:00,,7,,,,0,0:00:00,,,32.2314954,-110.9079631,12SWA 08671 66099,3.2,4.1,351,3,6,75.2,-5.4,-0.7,11.6,11.6,-2,2,0,108.5,0,0,0,0,0
-6.9,-4.1,32,-148,0,11.3,0,0.9,762.9,0.14,0,0,21.8,0:00:01,67.1,7,,176,,0,0:00:00,10:55:59,5/24/2022,32.2314895,-110.9079642,12SWA 08671 66098,3.3,4.6,351,3,5,77.3,-6.1,-0.8,11.2,11.2,-2.1,2.1,0,108.5,0,0,0,0,0
-6.4,-3.5,32,-148,0,10.4,0,0.9,762.9,0.11,0,0,21.8,0:00:02,67.1,7,,176,,0,0:00:00,10:56:00,5/24/2022,32.2314895,-110.9079642,12SWA 08671 66098,3.3,4.6,351,3,5,77.3,-6.1,-0.8,11.2,11.2,-2.1,2.1,0,108.5,0,0,0,0,0
-5.8,-2.7,32,-148,0,9.1,0,1,763,0.28,0,0,27,0:00:03,72.1,7,,174,,0,0:00:00,10:56:01,5/24/2022,32.2314667,-110.9079696,12SWA 08670 66096,3.3,4.6,351,3,5,82.2,-8.2,-0.9,8.9,8.9,-2,2,-0.1,108.46,0,0,0,0,0
-3.9,-0.5,31,-149,-1,4.2,0,1.2,763.2,0.47,0,0,38,0:00:04,61.2,7,,173,,0,0:00:00,10:56:02,5/24/2022,32.2314667,-110.9079696,12SWA 08670 66096,3.3,4.6,351,3,5,71.1,-8.1,-1.1,3.9,3.9,-1.4,1.4,-0.2,108.46,0,0,0,0,0
-2.8,0.7,31,-149,0,1.5,0,1.2,763.2,0.74,0,0,38,0:00:05,61.2,7,,173,,0,0:00:00,10:56:03,5/24/2022,32.2314146,-110.9079727,12SWA 08670 66090,3.2,4.1,351,3,6,71.1,-8.1,-1.1,3.9,3.9,-1.4,1.4,-0.2,108.41,0,0,0,0,0
-2.3,1.2,31,-149,0,0.9,0,1.5,763.5,0.73,0,0,52.4,0:00:06,46.8,7,,173,,0,0:00:00,10:56:04,5/24/2022,32.2314146,-110.9079727,12SWA 08670 66090,3.2,4.1,351,3,6,56.8,-7,-1.4,-0.6,0.6,-0.8,0.8,-0.2,108.41,0,0,0,0,0
-2.1,1.5,31,-149,0,1.5,0,1.5,763.5,0.6,0,0,52.4,0:00:07,46.8,7,,173,,0,0:00:00,10:56:05,5/24/2022,32.2314146,-110.9079727,12SWA 08670 66090,3.2,4.1,351,3,6,56.8,-7,-1.4,-0.6,0.6,-0.8,0.8,-0.2,108.41,0,0,0,0,0
-1.9,1.6,31,-149,0,2.3,36.20945682,1.2,763.1,0.41,0.41,0.41,58.1,0:00:08,41.1,7,,172,,13,0:00:00,10:56:06,5/24/2022,32.2313728,-110.907974,12SWA 08670 66085,3.3,4.6,351,3,5,51,-7,-1,-2.4,2.4,-0.5,0.5,0,108.37,0,0,0,0,0
-2,2.9,31,-149,0,1.6,36.20945682,1.2,763.1,0.17,0.41,0.41,58.1,0:00:09,41.1,7,,172,,53,0:00:00,10:56:07,5/24/2022,32.2313728,-110.907974,12SWA 08670 66085,3.3,4.6,351,3,5,51,-7,-1,-2.4,2.4,-0.5,0.5,0,108.37,0,0,0,0,0
-1.8,4,43,-137,12,2.1,-21.97759521,0.9,762.9,0.15,0.15,-0.226,62.3,0:00:10,37.4,7,,174,,0,0:00:00,10:56:08,5/24/2022,32.2313641,-110.9079508,12SWA 08672 66084,3.3,4.6,7.2,3,5,47.7,-4.6,-0.8,-1.8,1.8,1.5,1.5,0.1,108.36,2.5,2.5,5.1,0,0
-2.2,4,329,149,286,1.8,-21.97759521,0.9,762.9,0.09,0.15,-0.226,62.3,0:00:11,37.5,7,,172,,60,0:00:00,10:56:09,5/24/2022,32.2313641,-110.9079508,12SWA 08672 66084,3.3,4.6,7.2,3,5,47.7,-4.6,-0.8,-1.8,1.8,1.5,1.5,0.1,108.36,2.5,2.5,5.1,0,0
7.3,1.7,264,84,-65,4,-21.97759521,0.9,762.9,0.15,0.15,-0.226,62.3,0:00:12,37.5,7,,172,,25,0:00:00,10:56:10,5/24/2022,32.2313641,-110.9079508,12SWA 08672 66084,3.3,4.6,7.2,3,5,47.6,-6.4,-0.8,-0.3,0.3,-1.6,1.6,-0.2,108.36,5.1,3.8,7.9,0,0
4.1,-1.3,204,24,-60,3.2,-39.76529287,0.8,762.8,0.01,0.15,-0.466,66.5,0:00:13,35.9,7,,168,,21,0:00:00,10:56:11,5/24/2022,32.2313239,-110.907992,12SWA 08668 66080,1.4,2.1,255.2,3,6,45.6,-8.2,-0.7,-2.6,2.6,-0.2,0.2,0,108.3,0.9,0.6,1.2,0,0
6.8,0.2,189,9,-15,1.7,-39.76529287,0.8,762.8,0.07,0.15,-0.466,66.5,0:00:14,35.9,7,,168,,15,0:00:00,10:56:12,5/24/2022,32.2313239,-110.907992,12SWA 08668 66080,1.4,2.1,255.2,3,6,45.6,-8.2,-0.7,-2.6,2.6,-0.2,0.2,0,108.3,0.9,0.6,1.2,0,0
6.8,0.9,189,9,0,1.5,86.31454188,0.7,762.7,0.04,0.04,8.694,73.6,0:00:15,28.8,7,,168,,20,0:00:00,10:56:13,5/24/2022,32.2312157,-110.9079695,12SWA 08670 66068,1.4,2.1,216.8,3,6,38.6,-6.8,-0.6,-1.1,1.1,-0.8,0.8,0,108.19,0,0,0,0,0
7,1.6,190,10,1,1.2,86.31454188,0.7,762.7,-0.19,0.04,8.694,73.6,0:00:16,28.8,7,,168,,16,0:00:00,10:56:14,5/24/2022,32.2312157,-110.9079695,12SWA 08670 66068,1.4,2.1,216.8,3,6,38.6,-6.8,-0.6,-1.1,1.1,-0.8,0.8,0,108.19,0,0,0,0,0
